behavior_family,framework,pinned_commit,relative_path,line,semantic_bucket,source_excerpt,detail
agents_as_tools,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools.py,38,MIXED_OR_BOUND_NOT_PROVEN,spanish_agent.as_tool(,spanish_agent.as_tool
agents_as_tools,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools.py,42,MIXED_OR_BOUND_NOT_PROVEN,french_agent.as_tool(,french_agent.as_tool
agents_as_tools,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools.py,46,MIXED_OR_BOUND_NOT_PROVEN,italian_agent.as_tool(,italian_agent.as_tool
agents_as_tools,Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agent_hooks.py,1707,MIXED_OR_BOUND_NOT_PROVEN,"tools=[sub_agent.as_tool(propagate_session=True)],",sub_agent.as_tool
agents_as_tools,Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agent_hooks.py,1759,MIXED_OR_BOUND_NOT_PROVEN,"tools=[sub_agent.as_tool(propagate_session=True)],",sub_agent.as_tool
agents_as_tools,Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agent_hooks.py,1834,MIXED_OR_BOUND_NOT_PROVEN,sub_tool = sub_agent.as_tool(propagate_session=True),sub_agent.as_tool
conditional_edge,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools.py,82,EXTRACTOR_FALSE_POSITIVE_OR_OUT_OF_SCOPE,"if __name__ == ""__main__"":",__name__ == '__main__'
conditional_edge,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,135,STRUCTURED_BOUNDED_CANDIDATE,if confirmed:,confirmed
conditional_edge,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,143,ARBITRARY_CALLBACK_OR_RUNTIME,if is_auto_mode():,is_auto_mode()
conditional_edge,Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/conftest.py,85,STRUCTURED_BOUNDED_CANDIDATE,if enable_instrumentation or enable_sensitive_data:,enable_instrumentation or enable_sensitive_data
conditional_edge,Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/conftest.py,87,ARBITRARY_CALLBACK_OR_RUNTIME,"if not hasattr(tracer_provider, ""add_span_processor""):","not hasattr(tracer_provider, 'add_span_processor')"
conditional_edge,Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/conftest.py,108,ARBITRARY_CALLBACK_OR_RUNTIME,"if not hasattr(provider, ""add_log_record_processor""):","not hasattr(provider, 'add_log_record_processor')"
conditional_handoff_callback,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/customer_service/main.py,130,ARBITRARY_CALLBACK_OR_RUNTIME,handoff(,handoff
conditional_handoff_callback,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/handoffs/message_filter.py,69,ARBITRARY_CALLBACK_OR_RUNTIME,"handoffs=[handoff(spanish_agent, input_filter=spanish_handoff_message_filter)],",handoff
conditional_handoff_callback,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/handoffs/message_filter_streaming.py,69,ARBITRARY_CALLBACK_OR_RUNTIME,"handoffs=[handoff(spanish_agent, input_filter=spanish_handoff_message_filter)],",handoff
dynamic_instructions,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/dynamic_system_prompt.py,28,MIXED_OR_BOUND_NOT_PROVEN,"instructions=custom_instructions,","Name(id='custom_instructions', ctx=Load())"
dynamic_instructions,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/financial_research_agent/agents/financials_agent.py,21,MIXED_OR_BOUND_NOT_PROVEN,"instructions=FINANCIALS_PROMPT,","Name(id='FINANCIALS_PROMPT', ctx=Load())"
dynamic_instructions,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/financial_research_agent/agents/planner_agent.py,32,MIXED_OR_BOUND_NOT_PROVEN,"instructions=PROMPT,","Name(id='PROMPT', ctx=Load())"
fanout_fanin,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,109,EXTRACTOR_FALSE_POSITIVE_OR_OUT_OF_SCOPE,"print(f""Available tools: {', '.join(tool_names)}"")",join
fanout_fanin,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/parallelization.py,51,EXTRACTOR_FALSE_POSITIVE_OR_OUT_OF_SCOPE,"translations = ""\n\n"".join(outputs)",join
