framework,pinned_commit,relative_path,line,behavior_kind,detail,mixed_subclass,classification_basis,source_excerpt,implemented_and_semantically_tested,coverage_gain_claimed
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools.py,38,agents_as_tools,spanish_agent.as_tool,SOURCE_TRACEABLE_BOUNDED,static target and call site are source-visible; recursive depth remains a separate profile bound,spanish_agent.as_tool(,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools.py,42,agents_as_tools,french_agent.as_tool,SOURCE_TRACEABLE_BOUNDED,static target and call site are source-visible; recursive depth remains a separate profile bound,french_agent.as_tool(,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools.py,46,agents_as_tools,italian_agent.as_tool,SOURCE_TRACEABLE_BOUNDED,static target and call site are source-visible; recursive depth remains a separate profile bound,italian_agent.as_tool(,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools.py,38,agents_as_tools,spanish_agent.as_tool,SOURCE_TRACEABLE_BOUNDED,static target and call site are source-visible; recursive depth remains a separate profile bound,spanish_agent.as_tool(,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools.py,42,agents_as_tools,french_agent.as_tool,SOURCE_TRACEABLE_BOUNDED,static target and call site are source-visible; recursive depth remains a separate profile bound,french_agent.as_tool(,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools.py,46,agents_as_tools,italian_agent.as_tool,SOURCE_TRACEABLE_BOUNDED,static target and call site are source-visible; recursive depth remains a separate profile bound,italian_agent.as_tool(,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,67,agents_as_tools,spanish_agent.as_tool,SOURCE_TRACEABLE_BOUNDED,static target and call site are source-visible; recursive depth remains a separate profile bound,spanish_agent.as_tool(,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,73,agents_as_tools,french_agent.as_tool,SOURCE_TRACEABLE_BOUNDED,static target and call site are source-visible; recursive depth remains a separate profile bound,french_agent.as_tool(,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,78,agents_as_tools,italian_agent.as_tool,SOURCE_TRACEABLE_BOUNDED,static target and call site are source-visible; recursive depth remains a separate profile bound,italian_agent.as_tool(,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,67,agents_as_tools,spanish_agent.as_tool,SOURCE_TRACEABLE_BOUNDED,static target and call site are source-visible; recursive depth remains a separate profile bound,spanish_agent.as_tool(,NO,NO
