framework,source_path,source_sha,source_line,action_family,adapter_id,native_executor_verified,canonical_executor_verified,external_network_required,prior_exclusion_status,deterministic_selection_score,eligible,detail,argument_name,source_compatibility_result,compatibility_scope
OpenAI Agents SDK,examples/agent_patterns/agents_as_tools.py,9e86cc3a1570a329ebdf531f13c23748813e834397d5452f6cd2840aea877565,12,instructions,NONE,false,false,unknown,EXCLUDED,71cfbddb1a6a26763a4dd474843d1f5918fa16c5bfa4462c55bfc322ccdd831f,false,Agent,,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
OpenAI Agents SDK,examples/agent_patterns/agents_as_tools.py,9e86cc3a1570a329ebdf531f13c23748813e834397d5452f6cd2840aea877565,18,instructions,NONE,false,false,unknown,EXCLUDED,25486d5e8993b7d7a208fb175ad3ae4ff9b887b77aee78f1144525301c74dabe,false,Agent,,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
OpenAI Agents SDK,examples/agent_patterns/agents_as_tools.py,9e86cc3a1570a329ebdf531f13c23748813e834397d5452f6cd2840aea877565,24,instructions,NONE,false,false,unknown,EXCLUDED,31208ba486c161f49de7f7f314f048b64414c9d09ee0a5a700de0a58f92c46d7,false,Agent,,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
OpenAI Agents SDK,examples/agent_patterns/agents_as_tools.py,9e86cc3a1570a329ebdf531f13c23748813e834397d5452f6cd2840aea877565,30,instructions,NONE,false,false,unknown,EXCLUDED,5d1d7240d37864184e7a041cd53063d59e49911f8f4e02b5a1596cef97e8128c,false,Agent,,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
OpenAI Agents SDK,examples/agent_patterns/agents_as_tools.py,9e86cc3a1570a329ebdf531f13c23748813e834397d5452f6cd2840aea877565,38,agents_as_tools,NONE,false,false,unknown,EXCLUDED,dd736417470966814b83acccd660bac24cdd9f1c2a93713e725342ce6b3a0126,false,spanish_agent.as_tool,,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
OpenAI Agents SDK,examples/agent_patterns/agents_as_tools.py,9e86cc3a1570a329ebdf531f13c23748813e834397d5452f6cd2840aea877565,42,agents_as_tools,NONE,false,false,unknown,EXCLUDED,b444d10163296845edd13050ce35f6c2847699944bb20b4c557cde3350a9be76,false,french_agent.as_tool,,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
OpenAI Agents SDK,examples/agent_patterns/agents_as_tools.py,9e86cc3a1570a329ebdf531f13c23748813e834397d5452f6cd2840aea877565,46,agents_as_tools,NONE,false,false,unknown,EXCLUDED,da40bc416b2dd97ab63d8ef32665c4a7953b5e52bbf17a3ca8c0dc593d9d1bfb,false,italian_agent.as_tool,,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
OpenAI Agents SDK,examples/agent_patterns/agents_as_tools.py,9e86cc3a1570a329ebdf531f13c23748813e834397d5452f6cd2840aea877565,53,instructions,NONE,false,false,unknown,EXCLUDED,99a49aa068d7bad9ece15b1e8624b1ed609bd6ce9274c6b2a007cc4f14c5ea9b,false,Agent,,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
OpenAI Agents SDK,examples/agent_patterns/agents_as_tools.py,9e86cc3a1570a329ebdf531f13c23748813e834397d5452f6cd2840aea877565,82,conditional_edge,NONE,false,false,unknown,EXCLUDED,0450524f022e496a659c5b7347e69308a6f9e99880c5e058d78d7bdffd8669f7,false,__name__ == '__main__',,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
OpenAI Agents SDK,examples/agent_patterns/agents_as_tools_conditional.py,511e3da26270d1df3a8454e0c8df774d8bc41815db245fa2105ca6a5a137c6a7,31,tool,OPENAI_GENERIC_FUNCTION_TOOL_V10_1,false,false,unknown,CLEAR,427348024a869942571ae4a7c8bcde8e7b6b55eca9244d47295738a8c194a37e,false,get_user_name,,NO_ONE_STRING_ARGUMENT_DECORATED_TOOL_DEFINITION,frozen corpus row resolves to a locally parseable @tool/@function_tool callable with one str argument; generic action name and argument-name adaptation only
OpenAI Agents SDK,examples/agent_patterns/agents_as_tools_conditional.py,511e3da26270d1df3a8454e0c8df774d8bc41815db245fa2105ca6a5a137c6a7,30,tool,OPENAI_GENERIC_FUNCTION_TOOL_V10_1,false,false,unknown,CLEAR,1d889bc6c4c86eb1d0a47fadb6f60a86a9165bfc3fcebe3c24f0f035f0e54a20,false,tool,,NO_ONE_STRING_ARGUMENT_DECORATED_TOOL_DEFINITION,frozen corpus row resolves to a locally parseable @tool/@function_tool callable with one str argument; generic action name and argument-name adaptation only
OpenAI Agents SDK,examples/agent_patterns/agents_as_tools_conditional.py,511e3da26270d1df3a8454e0c8df774d8bc41815db245fa2105ca6a5a137c6a7,37,instructions,NONE,false,false,unknown,CLEAR,cb092931a948e5c5451b1465c5c713a401479ca18468060aa5271494c185ce66,false,Agent,,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
OpenAI Agents SDK,examples/agent_patterns/agents_as_tools_conditional.py,511e3da26270d1df3a8454e0c8df774d8bc41815db245fa2105ca6a5a137c6a7,44,tool,OPENAI_GENERIC_FUNCTION_TOOL_V10_1,false,false,unknown,CLEAR,d03f388f09670e3d86f34917fa06ba4d24f9a46fb34c1468a2e825d4342c95ac,false,"Name(id='get_user_name', ctx=Load())",,DETAIL_IS_NOT_A_CALLABLE_IDENTIFIER,frozen corpus row resolves to a locally parseable @tool/@function_tool callable with one str argument; generic action name and argument-name adaptation only
OpenAI Agents SDK,examples/agent_patterns/agents_as_tools_conditional.py,511e3da26270d1df3a8454e0c8df774d8bc41815db245fa2105ca6a5a137c6a7,47,instructions,NONE,false,false,unknown,CLEAR,5501c1b43807af4383a090747282914ef8ec6e4cf0070de0610a93812578ed65,false,Agent,,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
OpenAI Agents SDK,examples/agent_patterns/agents_as_tools_conditional.py,511e3da26270d1df3a8454e0c8df774d8bc41815db245fa2105ca6a5a137c6a7,52,instructions,NONE,false,false,unknown,CLEAR,57b82ead971003690599c7cf151e9d5fdcac85742ef523088520e58eae7ee05a,false,Agent,,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
OpenAI Agents SDK,examples/agent_patterns/agents_as_tools_conditional.py,511e3da26270d1df3a8454e0c8df774d8bc41815db245fa2105ca6a5a137c6a7,58,instructions,NONE,false,false,unknown,CLEAR,8c31e9584225c5fc4d169c1bf20d424c18847c6f7d338cf6c1a1d5950db854cd,false,Agent,,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
OpenAI Agents SDK,examples/agent_patterns/agents_as_tools_conditional.py,511e3da26270d1df3a8454e0c8df774d8bc41815db245fa2105ca6a5a137c6a7,67,agents_as_tools,NONE,false,false,unknown,CLEAR,386f6f60d9abaf106f00e2da4634c044cba051534a6d7bbb16197bb9390e069b,false,spanish_agent.as_tool,,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
OpenAI Agents SDK,examples/agent_patterns/agents_as_tools_conditional.py,511e3da26270d1df3a8454e0c8df774d8bc41815db245fa2105ca6a5a137c6a7,73,agents_as_tools,NONE,false,false,unknown,CLEAR,40310d763d2873caf6fa2caa34e662f0a45ed34e84f83fa5d29cf206126bb812,false,french_agent.as_tool,,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
OpenAI Agents SDK,examples/agent_patterns/agents_as_tools_conditional.py,511e3da26270d1df3a8454e0c8df774d8bc41815db245fa2105ca6a5a137c6a7,78,agents_as_tools,NONE,false,false,unknown,EXCLUDED,cd54a24d1e90480c578b062e3d39a52b9325f4b22bf4a81b7b25654f1704633e,false,italian_agent.as_tool,,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
OpenAI Agents SDK,examples/agent_patterns/agents_as_tools_conditional.py,511e3da26270d1df3a8454e0c8df774d8bc41815db245fa2105ca6a5a137c6a7,109,fanout_fanin,NONE,false,false,unknown,CLEAR,413017f3a050bd6078068e6d739d9ab3cc26c3a6f637de1f8762626ff76c3ae9,false,join,,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
OpenAI Agents SDK,examples/agent_patterns/agents_as_tools_conditional.py,511e3da26270d1df3a8454e0c8df774d8bc41815db245fa2105ca6a5a137c6a7,126,loop,NONE,false,false,unknown,CLEAR,d56494cff86c7a237c4ddea89f45c625c7069dac5dace2ef919b81a68e5ffaf4,false,While,,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
OpenAI Agents SDK,examples/agent_patterns/agents_as_tools_conditional.py,511e3da26270d1df3a8454e0c8df774d8bc41815db245fa2105ca6a5a137c6a7,131,state_memory,NONE,false,false,unknown,CLEAR,6a0d12f81bf5cfbceceec672c4981d9760067ad1cd540488612f21b07e6cee7a,false,result.to_state,,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
OpenAI Agents SDK,examples/agent_patterns/agents_as_tools_conditional.py,511e3da26270d1df3a8454e0c8df774d8bc41815db245fa2105ca6a5a137c6a7,132,loop,NONE,false,false,unknown,CLEAR,b4a75fada4d6878b5b31b5eef5f2651395c1c853509dcae351de348175d31afe,false,For,,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
OpenAI Agents SDK,examples/agent_patterns/agents_as_tools_conditional.py,511e3da26270d1df3a8454e0c8df774d8bc41815db245fa2105ca6a5a137c6a7,135,conditional_edge,NONE,false,false,unknown,CLEAR,0a8ec473fe8dfbda87534095cb81bd3a9c0c26e7c05bd7fe10c4b9724ff183fc,false,confirmed,,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
OpenAI Agents SDK,examples/agent_patterns/agents_as_tools_conditional.py,511e3da26270d1df3a8454e0c8df774d8bc41815db245fa2105ca6a5a137c6a7,136,hitl_resume,NONE,false,false,unknown,CLEAR,b03e0c11e27e4ec323cf91328e83ca61161fc01609f6d916d0caa1eb3cd798de,false,state.approve,,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
OpenAI Agents SDK,examples/agent_patterns/agents_as_tools_conditional.py,511e3da26270d1df3a8454e0c8df774d8bc41815db245fa2105ca6a5a137c6a7,139,hitl_resume,NONE,false,false,unknown,CLEAR,ec5ea61a10767ee17ded77f65ae5b58da3e603e450285d744e79d0d32c98156e,false,state.reject,,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
OpenAI Agents SDK,examples/agent_patterns/agents_as_tools_conditional.py,511e3da26270d1df3a8454e0c8df774d8bc41815db245fa2105ca6a5a137c6a7,143,conditional_edge,NONE,false,false,unknown,CLEAR,d5ec61395d1240b06f4542ee957c826a0d7072f2e178151f83928ca1d285bec2,false,is_auto_mode(),,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
OpenAI Agents SDK,examples/agent_patterns/agents_as_tools_conditional.py,511e3da26270d1df3a8454e0c8df774d8bc41815db245fa2105ca6a5a137c6a7,145,loop,NONE,false,false,unknown,CLEAR,c646ab52d436904ee62035aa4cf81bc34ed9f95c019a6f0f98cb750454b60cad,false,For,,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
OpenAI Agents SDK,examples/agent_patterns/agents_as_tools_conditional.py,511e3da26270d1df3a8454e0c8df774d8bc41815db245fa2105ca6a5a137c6a7,147,conditional_edge,NONE,false,false,unknown,CLEAR,54dfa62478242c4bd1dc2007f28bf1e6460a85dc7b4e02585c9cd38a5100676a,false,"item.type == 'tool_call_item' and isinstance(tool_name, str)",,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
OpenAI Agents SDK,examples/agent_patterns/agents_as_tools_conditional.py,511e3da26270d1df3a8454e0c8df774d8bc41815db245fa2105ca6a5a137c6a7,148,conditional_edge,NONE,false,false,unknown,CLEAR,90bf4358bf2a049d5b6a8543bdbaed2e709266ee1962dc332d209126b32dd5f3,false,tool_name.startswith('respond_'),,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
OpenAI Agents SDK,examples/agent_patterns/agents_as_tools_conditional.py,511e3da26270d1df3a8454e0c8df774d8bc41815db245fa2105ca6a5a137c6a7,150,conditional_edge,NONE,false,false,unknown,CLEAR,df658e89dae5c8b768ebea798810948829bae354d0ea62f2f66d15e37ae95870,false,"sorted(called_tools) != ['respond_french', 'respond_spanish']",,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
OpenAI Agents SDK,examples/agent_patterns/agents_as_tools_conditional.py,511e3da26270d1df3a8454e0c8df774d8bc41815db245fa2105ca6a5a137c6a7,152,conditional_edge,NONE,false,false,unknown,CLEAR,f49f17509448c2dde82dde65aa40cade611b44cba4d21e49dcc5700af74b092d,false,not result.final_output,,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
OpenAI Agents SDK,examples/agent_patterns/agents_as_tools_conditional.py,511e3da26270d1df3a8454e0c8df774d8bc41815db245fa2105ca6a5a137c6a7,158,conditional_edge,NONE,false,false,unknown,CLEAR,e4be876556d71246bf313764ca4543ef336c2e962de9e5e3fa046a8bcb52c9f7,false,__name__ == '__main__',,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
