group,path,physical_loc,approx_code_loc,runtime_tcb
TRUSTED_CONTROL_SUBSTRATE,agent_control_virtualization/ir.py,130,103,YES
TRUSTED_CONTROL_SUBSTRATE,agent_control_virtualization/ir_v2.py,116,88,YES
TRUSTED_CONTROL_SUBSTRATE,agent_control_virtualization/runtime.py,89,61,YES
TRUSTED_CONTROL_SUBSTRATE,agent_control_virtualization/runtime_v2.py,324,286,YES
TRUSTED_CONTROL_SUBSTRATE,privacy_kernel/control.py,211,190,YES
TRUSTED_CONTROL_SUBSTRATE,privacy_kernel/protocol.py,173,145,YES
TRUSTED_CONTROL_SUBSTRATE,privacy_kernel/lookup.py,117,103,YES
TRUSTED_GATEWAY_ENFORCEMENT,common_action_gateway_v2/diagnostics.go,69,61,YES
TRUSTED_GATEWAY_ENFORCEMENT,common_action_gateway_v2/mapping_linux.go,38,34,YES
TRUSTED_GATEWAY_ENFORCEMENT,common_action_gateway_v2/mapping_windows.go,46,42,YES
TRUSTED_GATEWAY_ENFORCEMENT,common_action_gateway_v2/operation_journal.go,155,140,YES
TRUSTED_GATEWAY_ENFORCEMENT,common_action_gateway_v2/pacer.go,215,207,YES
TRUSTED_GATEWAY_ENFORCEMENT,common_action_gateway_v2/platform_linux.go,75,66,YES
TRUSTED_GATEWAY_ENFORCEMENT,common_action_gateway_v2/platform_windows.go,50,43,YES
TRUSTED_GATEWAY_ENFORCEMENT,common_action_gateway_v2/profile.go,67,61,YES
TRUSTED_GATEWAY_ENFORCEMENT,common_action_gateway_v2/protocol.go,346,319,YES
TRUSTED_GATEWAY_ENFORCEMENT,common_action_gateway_v2/provider.go,231,210,YES
TRUSTED_GATEWAY_ENFORCEMENT,common_action_gateway_v2/ring.go,110,99,YES
TRUSTED_GATEWAY_ENFORCEMENT,common_action_gateway_v2/transport.go,53,45,YES
TRUSTED_GATEWAY_ENFORCEMENT,common_action_gateway_v2/worker.go,212,204,YES
TRUSTED_GATEWAY_ENFORCEMENT,common_action_gateway_v2/cmd/gateway-pacer/main.go,37,34,YES
TRUSTED_GATEWAY_ENFORCEMENT,common_action_gateway_v2/cmd/gateway-worker/main.go,41,38,YES
COMPILER_NOT_RUNTIME_TCB,agent_control_virtualization/compiler.py,130,113,NO
COMPILER_NOT_RUNTIME_TCB,agent_control_virtualization/compiler_v2.py,110,99,NO
COMPILER_NOT_RUNTIME_TCB,canonical_v3/compiler.py,56,47,NO
CORPUS_AND_EXTRACTION_TOOLING,corpus_audit/extractor.py,275,245,NO
CORPUS_AND_EXTRACTION_TOOLING,corpus_audit/ir_v1_freeze.py,439,395,NO
CORPUS_AND_EXTRACTION_TOOLING,scripts/audit_workflow_executability_v2.py,96,85,NO
CORPUS_AND_EXTRACTION_TOOLING,scripts/decompose_mixed_unproven_v2.py,140,122,NO
CORPUS_AND_EXTRACTION_TOOLING,scripts/freeze_semantic_holdout_v2.py,238,218,NO
PROVIDER_EMULATOR_NOT_TCB,common_action_gateway_v2/provider_emulator.go,149,141,NO
PROVIDER_EMULATOR_NOT_TCB,common_action_gateway_v2/cmd/local-provider-emulator/main.go,30,27,NO
EXPERIMENTAL_ANALYSIS_NOT_TCB,canonical_v3/runner.py,273,249,NO
EXPERIMENTAL_ANALYSIS_NOT_TCB,canonical_v3/workflows.py,111,92,NO
EXPERIMENTAL_ANALYSIS_NOT_TCB,semantic_fidelity/evaluate.py,254,218,NO
EXPERIMENTAL_ANALYSIS_NOT_TCB,semantic_fidelity/evaluate_v2.py,250,219,NO
EXPERIMENTAL_ANALYSIS_NOT_TCB,scripts/run_semantic_holdout_v2_once.py,180,161,NO
EXPERIMENTAL_ANALYSIS_NOT_TCB,scripts/run_long_horizon_structural_v1.py,210,183,NO
UNTRUSTED_CLOUD_PLANE,cloud_slot_proxy/proxy.py,132,112,NO
UNTRUSTED_CLOUD_PLANE,common_action_gateway_v2/client.go,174,165,NO
UNTRUSTED_CLOUD_PLANE,common_action_gateway_v2/cmd/gateway-cloud-client/main.go,34,31,NO
