experiment_id,group,secret,observer,baseline,mechanism,workload,public_profile,exact_invariant,attack_features,metric,split,criterion
V7-A1,PIR selection,AgentDescriptor row index,untrusted PIR registry,B1,official SimplePIR encrypted fixed-width row query,"N=1K/10K/100K registry",registry shape and PIR parameters,server trace omits logical index or stable target identifier,query/answer lengths and server timing as diagnostic,cryptographic construction audit plus correctness,development,"PASS if official full-preprocessing path returns correct rows and audited server API receives no plaintext index; selection timing remains OPEN"
V7-B1,action mediation correctness,action arguments and target,trusted semantic comparator,B5,TrustedActionModule action-cell mediation,24-case frozen V7 adapter holdout,STRICT-STANDARD,native-reference projection equals mediated projection,none,exact pass fraction,holdout,"PASS only if every frozen case passes without tuning"
V7-C1,destination privacy,Tool or Agent destination,declared cloud-network observer,"B0/B2/B5",common Gateway endpoint,paired local provider actions,STRICT-STANDARD,endpoint connection count and destination exactly equal,endpoint and connection metadata,exact equality,development,"PASS if both arms function and endpoint projection is exactly equal"
V7-D1,size privacy,Tool or Agent target,declared cloud-network observer,"B2/B3/B5",fixed 1024-byte request and response cells,paired local provider actions,STRICT-STANDARD,every serialized request/response width exactly equal,receiver-visible frame bytes,exact equality,development,"PASS if both arms function and all cell widths match"
V7-E1,long-horizon structure,Agent/Tool identity and sequence,declared cloud-network observer,"B4/B5",fixed public transcript,"target/repeated/frequency/rare/transition/cross-session pairs",STRICT-STANDARD,"destination,connections,lifetime,count,order,size,profile ID exactly equal",structural and size only,exact equality plus grouped classifier falsification,holdout,"PASS if every pair is functionally valid and exact projection equal; timing excluded"
V7-F1,route privacy,internal versus external route,declared cloud-network observer,"B5/B6",unified strict versus hierarchical efficient resolution,controlled internal-hit sweep,"STRICT-STANDARD or EFFICIENT-STANDARD",STRICT path must have equal public route projection; efficient path declares route class,route/category features,exact equality or measured explicit leakage,development,"STRICT PASS on equality; EFFICIENT reports leakage without being scored as strict privacy"
V7-G1,repeated/frequency/rare target,target multiplicity pattern,declared cloud-network observer,B5,fixed strict transcript,"windows 1/5/10/25/50",STRICT-STANDARD,all equal-profile structural/size sequences equal,structural/size aggregation,exact equality plus top-1/AUC diagnostic,holdout,"PASS if exact equality and no classifier contradicts it; no timing features"
V7-H1,cross-session linkage,repeated target across sessions,declared cloud-network observer,B5,fresh protected cells plus fixed transcript,paired independent sessions,STRICT-STANDARD,no stable target-derived field and exact projections equal,structural/size session aggregation,AUC diagnostic,holdout,"PASS if identifier audit and exact equality pass"
V7-I1,performance,none (cost study),local system measurer,"B1/B5/B6",unified/hierarchical/cache/profile variants,"registry scales and SHORT/STANDARD/LONG profiles",declared per row,none,none,"latency,bytes,client state,server work,cells",development,"report measured Pareto; no security pass inferred from speed"
V7-J1,effect recovery,effect completion and crash point,trusted recovery auditor,B5,durable effect journal plus durable ready queue,"READ_ONLY/IDEMPOTENT/NON_IDEMPOTENT crash matrix",STRICT-STANDARD,"no silent lost committed result; no non-idempotent replay after ambiguous start",crash point and durable state,exact outcome matrix,development,"PASS only with safe declared outcome at every injected point; no unsupported exactly-once claim"
V7-K1,resource observer boundary,action/provider class,cloud OS/resource observer,B5,no V7 resource shaper,local functional runs,STRICT-STANDARD,none because resource privacy is outside proven mechanism,coarse CPU/RSS/process metadata,status audit,development,"OPEN unless a measured isolation mechanism closes the observer"
