execution_id,framework,source_path,stratum,supported_static_class,equivalent,mismatched_fields,native_projection,compiled_projection
DYN-000,OpenAI Agents SDK,examples/basic/hello_world.py,openai_simple,True,True,,"{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-0"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}","{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-0"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}"
DYN-001,OpenAI Agents SDK,examples/basic/hello_world.py,openai_simple,True,True,,"{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-1"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}","{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-1"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}"
DYN-002,OpenAI Agents SDK,examples/basic/hello_world.py,openai_simple,True,True,,"{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-2"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}","{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-2"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}"
DYN-003,OpenAI Agents SDK,examples/basic/hello_world.py,openai_simple,True,True,,"{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-3"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}","{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-3"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}"
DYN-004,OpenAI Agents SDK,examples/basic/hello_world.py,openai_simple,True,True,,"{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-4"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}","{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-4"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}"
DYN-005,OpenAI Agents SDK,examples/basic/hello_world.py,openai_simple,True,True,,"{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-5"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}","{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-5"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}"
DYN-006,OpenAI Agents SDK,examples/basic/hello_world.py,openai_simple,True,True,,"{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-6"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}","{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-6"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}"
DYN-007,OpenAI Agents SDK,examples/basic/hello_world.py,openai_simple,True,True,,"{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-7"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}","{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-7"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}"
DYN-008,OpenAI Agents SDK,examples/basic/hello_world.py,openai_simple,True,True,,"{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-8"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}","{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-8"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}"
DYN-009,OpenAI Agents SDK,examples/basic/hello_world.py,openai_simple,True,True,,"{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-9"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}","{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-9"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}"
DYN-010,OpenAI Agents SDK,examples/basic/hello_world.py,openai_simple,True,True,,"{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-10"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}","{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-10"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}"
DYN-011,OpenAI Agents SDK,examples/basic/hello_world.py,openai_simple,True,True,,"{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-11"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}","{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-11"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}"
DYN-012,OpenAI Agents SDK,examples/basic/hello_world.py,openai_simple,True,True,,"{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-12"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}","{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-12"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}"
DYN-013,OpenAI Agents SDK,examples/basic/hello_world.py,openai_simple,True,True,,"{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-13"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}","{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-13"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}"
DYN-014,OpenAI Agents SDK,examples/basic/hello_world.py,openai_simple,True,True,,"{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-14"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}","{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-14"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}"
DYN-015,OpenAI Agents SDK,examples/basic/hello_world.py,openai_simple,True,True,,"{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-15"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}","{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-15"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}"
DYN-016,OpenAI Agents SDK,examples/basic/hello_world.py,openai_simple,True,True,,"{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-16"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}","{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-16"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}"
DYN-017,OpenAI Agents SDK,examples/basic/hello_world.py,openai_simple,True,True,,"{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-17"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}","{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-17"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}"
DYN-018,OpenAI Agents SDK,examples/basic/tools.py,openai_tool,True,False,tool_arguments;state_updates;external_effect_sequence;effect_count;termination_class;sanitized_final_result;model_calls,"{""effect_count"": 1, ""external_effect_sequence"": ""[{\""tool\"": \""lookup_faq\"", \""topic\"": \""synthetic-0\""}]"", ""handoff_target"": """", ""model_calls"": 2, ""sanitized_final_result"": ""tool-final-0"", ""selected_tool"": ""lookup_faq"", ""state_updates"": ""[\""LLM\"", \""TOOL\"", \""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": ""{\""topic\"": \""synthetic-0\""}""}","{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": """", ""selected_tool"": ""lookup_faq"", ""state_updates"": ""[\""LLM\"", \""TOOL\"", \""STALLED\""]"", ""termination_class"": ""STALLED"", ""tool_arguments"": """"}"
DYN-019,OpenAI Agents SDK,examples/basic/tools.py,openai_tool,True,False,tool_arguments;state_updates;external_effect_sequence;effect_count;termination_class;sanitized_final_result;model_calls,"{""effect_count"": 1, ""external_effect_sequence"": ""[{\""tool\"": \""lookup_faq\"", \""topic\"": \""synthetic-1\""}]"", ""handoff_target"": """", ""model_calls"": 2, ""sanitized_final_result"": ""tool-final-1"", ""selected_tool"": ""lookup_faq"", ""state_updates"": ""[\""LLM\"", \""TOOL\"", \""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": ""{\""topic\"": \""synthetic-1\""}""}","{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": """", ""selected_tool"": ""lookup_faq"", ""state_updates"": ""[\""LLM\"", \""TOOL\"", \""STALLED\""]"", ""termination_class"": ""STALLED"", ""tool_arguments"": """"}"
