execution_id,framework,source_path,stratum,supported_static_class,equivalent,mismatched_fields,native_projection,compiled_projection
IRV1-CONT-000,OpenAI Agents SDK,examples/basic/hello_world.py,openai_simple,True,True,,"{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-100"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}","{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-100"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}"
IRV1-CONT-001,OpenAI Agents SDK,examples/basic/hello_world.py,openai_simple,True,True,,"{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-101"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}","{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-101"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}"
IRV1-CONT-002,OpenAI Agents SDK,examples/basic/hello_world.py,openai_simple,True,True,,"{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-102"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}","{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-102"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}"
IRV1-CONT-003,OpenAI Agents SDK,examples/basic/hello_world.py,openai_simple,True,True,,"{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-103"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}","{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-103"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}"
IRV1-CONT-004,OpenAI Agents SDK,examples/basic/hello_world.py,openai_simple,True,True,,"{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-104"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}","{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-104"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}"
IRV1-CONT-005,OpenAI Agents SDK,examples/basic/hello_world.py,openai_simple,True,True,,"{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-105"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}","{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-105"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}"
IRV1-CONT-006,OpenAI Agents SDK,examples/basic/hello_world.py,openai_simple,True,True,,"{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-106"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}","{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-106"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}"
IRV1-CONT-007,OpenAI Agents SDK,examples/basic/hello_world.py,openai_simple,True,True,,"{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-107"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}","{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-107"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}"
IRV1-CONT-008,OpenAI Agents SDK,examples/basic/hello_world.py,openai_simple,True,True,,"{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-108"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}","{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-108"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}"
IRV1-CONT-009,OpenAI Agents SDK,examples/basic/hello_world.py,openai_simple,True,True,,"{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-109"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}","{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": ""simple-final-109"", ""selected_tool"": """", ""state_updates"": ""[\""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": """"}"
