episode,repetition,private_agent_label,private_action_family
r0-READ_BASE,0,READ_BASE,MODEL_TOOL_MODEL
r0-EFFECT,0,EFFECT,MODEL_TOOL_MODEL
r0-HANDOFF,0,HANDOFF,HANDOFF_MODEL
r0-READ_ALPHA,0,READ_ALPHA,MODEL_TOOL_MODEL
r0-READ_BETA,0,READ_BETA,MODEL_TOOL_MODEL
r0-BRANCH_FALSE,0,BRANCH_FALSE,PRIVATE_BRANCH
r0-BRANCH_TRUE,0,BRANCH_TRUE,PRIVATE_BRANCH
r1-READ_BASE,1,READ_BASE,MODEL_TOOL_MODEL
r1-EFFECT,1,EFFECT,MODEL_TOOL_MODEL
r1-HANDOFF,1,HANDOFF,HANDOFF_MODEL
r1-READ_ALPHA,1,READ_ALPHA,MODEL_TOOL_MODEL
r1-READ_BETA,1,READ_BETA,MODEL_TOOL_MODEL
r1-BRANCH_FALSE,1,BRANCH_FALSE,PRIVATE_BRANCH
r1-BRANCH_TRUE,1,BRANCH_TRUE,PRIVATE_BRANCH
r2-READ_BASE,2,READ_BASE,MODEL_TOOL_MODEL
r2-EFFECT,2,EFFECT,MODEL_TOOL_MODEL
r2-HANDOFF,2,HANDOFF,HANDOFF_MODEL
r2-READ_ALPHA,2,READ_ALPHA,MODEL_TOOL_MODEL
r2-READ_BETA,2,READ_BETA,MODEL_TOOL_MODEL
r2-BRANCH_FALSE,2,BRANCH_FALSE,PRIVATE_BRANCH
r2-BRANCH_TRUE,2,BRANCH_TRUE,PRIVATE_BRANCH
r3-READ_BASE,3,READ_BASE,MODEL_TOOL_MODEL
r3-EFFECT,3,EFFECT,MODEL_TOOL_MODEL
r3-HANDOFF,3,HANDOFF,HANDOFF_MODEL
r3-READ_ALPHA,3,READ_ALPHA,MODEL_TOOL_MODEL
r3-READ_BETA,3,READ_BETA,MODEL_TOOL_MODEL
r3-BRANCH_FALSE,3,BRANCH_FALSE,PRIVATE_BRANCH
r3-BRANCH_TRUE,3,BRANCH_TRUE,PRIVATE_BRANCH
r4-READ_BASE,4,READ_BASE,MODEL_TOOL_MODEL
r4-EFFECT,4,EFFECT,MODEL_TOOL_MODEL
r4-HANDOFF,4,HANDOFF,HANDOFF_MODEL
r4-READ_ALPHA,4,READ_ALPHA,MODEL_TOOL_MODEL
r4-READ_BETA,4,READ_BETA,MODEL_TOOL_MODEL
r4-BRANCH_FALSE,4,BRANCH_FALSE,PRIVATE_BRANCH
r4-BRANCH_TRUE,4,BRANCH_TRUE,PRIVATE_BRANCH
r5-READ_BASE,5,READ_BASE,MODEL_TOOL_MODEL
r5-EFFECT,5,EFFECT,MODEL_TOOL_MODEL
r5-HANDOFF,5,HANDOFF,HANDOFF_MODEL
r5-READ_ALPHA,5,READ_ALPHA,MODEL_TOOL_MODEL
r5-READ_BETA,5,READ_BETA,MODEL_TOOL_MODEL
r5-BRANCH_FALSE,5,BRANCH_FALSE,PRIVATE_BRANCH
r5-BRANCH_TRUE,5,BRANCH_TRUE,PRIVATE_BRANCH
