workload,framework,behavior,kind,classification,reason
openai-language-routing,OpenAI Agents SDK,Triage agent:instructions,instructions,COMPILED,stored as private instruction handle
openai-language-routing,OpenAI Agents SDK,Triage agent:model,llm,SHARED_PRIMITIVE,one shared model invocation through the common ABI
openai-language-routing,OpenAI Agents SDK,Triage agent:handoff:1,handoff,COMPILED,logical id transition in the common executor
openai-language-routing,OpenAI Agents SDK,Triage agent:handoff:2,handoff,COMPILED,logical id transition in the common executor
openai-language-routing,OpenAI Agents SDK,Triage agent:handoff:3,handoff,COMPILED,logical id transition in the common executor
openai-language-routing,OpenAI Agents SDK,Triage agent:return,termination,COMPILED,fixed RETURN transition
openai-language-routing,OpenAI Agents SDK,French agent:instructions,instructions,COMPILED,stored as private instruction handle
openai-language-routing,OpenAI Agents SDK,French agent:model,llm,SHARED_PRIMITIVE,one shared model invocation through the common ABI
openai-language-routing,OpenAI Agents SDK,French agent:return,termination,COMPILED,fixed RETURN transition
openai-language-routing,OpenAI Agents SDK,Spanish agent:instructions,instructions,COMPILED,stored as private instruction handle
openai-language-routing,OpenAI Agents SDK,Spanish agent:model,llm,SHARED_PRIMITIVE,one shared model invocation through the common ABI
openai-language-routing,OpenAI Agents SDK,Spanish agent:return,termination,COMPILED,fixed RETURN transition
openai-language-routing,OpenAI Agents SDK,English agent:instructions,instructions,COMPILED,stored as private instruction handle
openai-language-routing,OpenAI Agents SDK,English agent:model,llm,SHARED_PRIMITIVE,one shared model invocation through the common ABI
openai-language-routing,OpenAI Agents SDK,English agent:return,termination,COMPILED,fixed RETURN transition
openai-customer-service,OpenAI Agents SDK,Customer-service triage:instructions,instructions,COMPILED,stored as private instruction handle
openai-customer-service,OpenAI Agents SDK,Customer-service triage:model,llm,SHARED_PRIMITIVE,one shared model invocation through the common ABI
openai-customer-service,OpenAI Agents SDK,Customer-service triage:handoff:1,handoff,COMPILED,logical id transition in the common executor
openai-customer-service,OpenAI Agents SDK,Customer-service triage:handoff:2,handoff,COMPILED,logical id transition in the common executor
openai-customer-service,OpenAI Agents SDK,Customer-service triage:return,termination,COMPILED,fixed RETURN transition
openai-customer-service,OpenAI Agents SDK,FAQ agent:instructions,instructions,COMPILED,stored as private instruction handle
openai-customer-service,OpenAI Agents SDK,FAQ agent:model,llm,SHARED_PRIMITIVE,one shared model invocation through the common ABI
openai-customer-service,OpenAI Agents SDK,FAQ agent:tool:lookup_faq,tool,SHARED_PRIMITIVE,tool work remains behind ToolExecutionAdapter
openai-customer-service,OpenAI Agents SDK,FAQ agent:handoff:0,handoff,COMPILED,logical id transition in the common executor
openai-customer-service,OpenAI Agents SDK,FAQ agent:return,termination,COMPILED,fixed RETURN transition
openai-customer-service,OpenAI Agents SDK,Seat agent:instructions,instructions,COMPILED,stored as private instruction handle
openai-customer-service,OpenAI Agents SDK,Seat agent:model,llm,SHARED_PRIMITIVE,one shared model invocation through the common ABI
openai-customer-service,OpenAI Agents SDK,Seat agent:tool:update_seat,tool,SHARED_PRIMITIVE,tool work remains behind ToolExecutionAdapter
openai-customer-service,OpenAI Agents SDK,Seat agent:handoff:0,handoff,COMPILED,logical id transition in the common executor
openai-customer-service,OpenAI Agents SDK,Seat agent:return,termination,COMPILED,fixed RETURN transition
openai-agent-lifecycle,OpenAI Agents SDK,lifecycle:prompt_encoded_conditional,prompt_control,UNSUPPORTED,natural-language conditional is not a declarative control edge
openai-agent-lifecycle,OpenAI Agents SDK,Lifecycle router:instructions,instructions,COMPILED,stored as private instruction handle
openai-agent-lifecycle,OpenAI Agents SDK,Lifecycle router:model,llm,SHARED_PRIMITIVE,one shared model invocation through the common ABI
openai-agent-lifecycle,OpenAI Agents SDK,Lifecycle router:handoff:1,handoff,COMPILED,logical id transition in the common executor
