execution_id,framework,source_path,stratum,supported_static_class,equivalent,mismatched_fields,native_projection,compiled_projection
DYN-018,OpenAI Agents SDK,examples/basic/tools.py,openai_tool,True,False,tool_arguments;state_updates;external_effect_sequence;effect_count;termination_class;sanitized_final_result;model_calls,"{""effect_count"": 1, ""external_effect_sequence"": ""[{\""tool\"": \""lookup_faq\"", \""topic\"": \""synthetic-0\""}]"", ""handoff_target"": """", ""model_calls"": 2, ""sanitized_final_result"": ""tool-final-0"", ""selected_tool"": ""lookup_faq"", ""state_updates"": ""[\""LLM\"", \""TOOL\"", \""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": ""{\""topic\"": \""synthetic-0\""}""}","{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": """", ""selected_tool"": ""lookup_faq"", ""state_updates"": ""[\""LLM\"", \""TOOL\"", \""STALLED\""]"", ""termination_class"": ""STALLED"", ""tool_arguments"": """"}"
DYN-019,OpenAI Agents SDK,examples/basic/tools.py,openai_tool,True,False,tool_arguments;state_updates;external_effect_sequence;effect_count;termination_class;sanitized_final_result;model_calls,"{""effect_count"": 1, ""external_effect_sequence"": ""[{\""tool\"": \""lookup_faq\"", \""topic\"": \""synthetic-1\""}]"", ""handoff_target"": """", ""model_calls"": 2, ""sanitized_final_result"": ""tool-final-1"", ""selected_tool"": ""lookup_faq"", ""state_updates"": ""[\""LLM\"", \""TOOL\"", \""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": ""{\""topic\"": \""synthetic-1\""}""}","{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": """", ""selected_tool"": ""lookup_faq"", ""state_updates"": ""[\""LLM\"", \""TOOL\"", \""STALLED\""]"", ""termination_class"": ""STALLED"", ""tool_arguments"": """"}"
DYN-020,OpenAI Agents SDK,examples/basic/tools.py,openai_tool,True,False,tool_arguments;state_updates;external_effect_sequence;effect_count;termination_class;sanitized_final_result;model_calls,"{""effect_count"": 1, ""external_effect_sequence"": ""[{\""tool\"": \""lookup_faq\"", \""topic\"": \""synthetic-2\""}]"", ""handoff_target"": """", ""model_calls"": 2, ""sanitized_final_result"": ""tool-final-2"", ""selected_tool"": ""lookup_faq"", ""state_updates"": ""[\""LLM\"", \""TOOL\"", \""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": ""{\""topic\"": \""synthetic-2\""}""}","{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": """", ""selected_tool"": ""lookup_faq"", ""state_updates"": ""[\""LLM\"", \""TOOL\"", \""STALLED\""]"", ""termination_class"": ""STALLED"", ""tool_arguments"": """"}"
DYN-021,OpenAI Agents SDK,examples/basic/tools.py,openai_tool,True,False,tool_arguments;state_updates;external_effect_sequence;effect_count;termination_class;sanitized_final_result;model_calls,"{""effect_count"": 1, ""external_effect_sequence"": ""[{\""tool\"": \""lookup_faq\"", \""topic\"": \""synthetic-3\""}]"", ""handoff_target"": """", ""model_calls"": 2, ""sanitized_final_result"": ""tool-final-3"", ""selected_tool"": ""lookup_faq"", ""state_updates"": ""[\""LLM\"", \""TOOL\"", \""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": ""{\""topic\"": \""synthetic-3\""}""}","{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": """", ""selected_tool"": ""lookup_faq"", ""state_updates"": ""[\""LLM\"", \""TOOL\"", \""STALLED\""]"", ""termination_class"": ""STALLED"", ""tool_arguments"": """"}"
DYN-022,OpenAI Agents SDK,examples/basic/tools.py,openai_tool,True,False,tool_arguments;state_updates;external_effect_sequence;effect_count;termination_class;sanitized_final_result;model_calls,"{""effect_count"": 1, ""external_effect_sequence"": ""[{\""tool\"": \""lookup_faq\"", \""topic\"": \""synthetic-4\""}]"", ""handoff_target"": """", ""model_calls"": 2, ""sanitized_final_result"": ""tool-final-4"", ""selected_tool"": ""lookup_faq"", ""state_updates"": ""[\""LLM\"", \""TOOL\"", \""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": ""{\""topic\"": \""synthetic-4\""}""}","{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": """", ""selected_tool"": ""lookup_faq"", ""state_updates"": ""[\""LLM\"", \""TOOL\"", \""STALLED\""]"", ""termination_class"": ""STALLED"", ""tool_arguments"": """"}"
DYN-023,OpenAI Agents SDK,examples/basic/tools.py,openai_tool,True,False,tool_arguments;state_updates;external_effect_sequence;effect_count;termination_class;sanitized_final_result;model_calls,"{""effect_count"": 1, ""external_effect_sequence"": ""[{\""tool\"": \""lookup_faq\"", \""topic\"": \""synthetic-5\""}]"", ""handoff_target"": """", ""model_calls"": 2, ""sanitized_final_result"": ""tool-final-5"", ""selected_tool"": ""lookup_faq"", ""state_updates"": ""[\""LLM\"", \""TOOL\"", \""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": ""{\""topic\"": \""synthetic-5\""}""}","{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": """", ""selected_tool"": ""lookup_faq"", ""state_updates"": ""[\""LLM\"", \""TOOL\"", \""STALLED\""]"", ""termination_class"": ""STALLED"", ""tool_arguments"": """"}"
DYN-024,OpenAI Agents SDK,examples/basic/tools.py,openai_tool,True,False,tool_arguments;state_updates;external_effect_sequence;effect_count;termination_class;sanitized_final_result;model_calls,"{""effect_count"": 1, ""external_effect_sequence"": ""[{\""tool\"": \""lookup_faq\"", \""topic\"": \""synthetic-6\""}]"", ""handoff_target"": """", ""model_calls"": 2, ""sanitized_final_result"": ""tool-final-6"", ""selected_tool"": ""lookup_faq"", ""state_updates"": ""[\""LLM\"", \""TOOL\"", \""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": ""{\""topic\"": \""synthetic-6\""}""}","{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": """", ""selected_tool"": ""lookup_faq"", ""state_updates"": ""[\""LLM\"", \""TOOL\"", \""STALLED\""]"", ""termination_class"": ""STALLED"", ""tool_arguments"": """"}"
DYN-025,OpenAI Agents SDK,examples/basic/tools.py,openai_tool,True,False,tool_arguments;state_updates;external_effect_sequence;effect_count;termination_class;sanitized_final_result;model_calls,"{""effect_count"": 1, ""external_effect_sequence"": ""[{\""tool\"": \""lookup_faq\"", \""topic\"": \""synthetic-7\""}]"", ""handoff_target"": """", ""model_calls"": 2, ""sanitized_final_result"": ""tool-final-7"", ""selected_tool"": ""lookup_faq"", ""state_updates"": ""[\""LLM\"", \""TOOL\"", \""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": ""{\""topic\"": \""synthetic-7\""}""}","{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": """", ""selected_tool"": ""lookup_faq"", ""state_updates"": ""[\""LLM\"", \""TOOL\"", \""STALLED\""]"", ""termination_class"": ""STALLED"", ""tool_arguments"": """"}"
DYN-026,OpenAI Agents SDK,examples/basic/tools.py,openai_tool,True,False,tool_arguments;state_updates;external_effect_sequence;effect_count;termination_class;sanitized_final_result;model_calls,"{""effect_count"": 1, ""external_effect_sequence"": ""[{\""tool\"": \""lookup_faq\"", \""topic\"": \""synthetic-8\""}]"", ""handoff_target"": """", ""model_calls"": 2, ""sanitized_final_result"": ""tool-final-8"", ""selected_tool"": ""lookup_faq"", ""state_updates"": ""[\""LLM\"", \""TOOL\"", \""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": ""{\""topic\"": \""synthetic-8\""}""}","{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": """", ""selected_tool"": ""lookup_faq"", ""state_updates"": ""[\""LLM\"", \""TOOL\"", \""STALLED\""]"", ""termination_class"": ""STALLED"", ""tool_arguments"": """"}"
DYN-027,OpenAI Agents SDK,examples/basic/tools.py,openai_tool,True,False,tool_arguments;state_updates;external_effect_sequence;effect_count;termination_class;sanitized_final_result;model_calls,"{""effect_count"": 1, ""external_effect_sequence"": ""[{\""tool\"": \""lookup_faq\"", \""topic\"": \""synthetic-9\""}]"", ""handoff_target"": """", ""model_calls"": 2, ""sanitized_final_result"": ""tool-final-9"", ""selected_tool"": ""lookup_faq"", ""state_updates"": ""[\""LLM\"", \""TOOL\"", \""LLM\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": ""{\""topic\"": \""synthetic-9\""}""}","{""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_target"": """", ""model_calls"": 1, ""sanitized_final_result"": """", ""selected_tool"": ""lookup_faq"", ""state_updates"": ""[\""LLM\"", \""TOOL\"", \""STALLED\""]"", ""termination_class"": ""STALLED"", ""tool_arguments"": """"}"
