corpus_version,framework,pinned_commit,relative_path,workflow_unit,agent_constructors,workflow_constructors,status,executable_behavior_instances,unresolved_behavior_instances,ignored_extractor_artifacts,unresolved_families,interpretation
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools.py,SOURCE_FILE,5,0,PARTIALLY_EXECUTABLE,15,6,1,agents_as_tools,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,SOURCE_FILE,4,0,PARTIALLY_EXECUTABLE,15,22,2,agents_as_tools;conditional_edge;hitl_resume;loop;state_memory,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_streaming.py,SOURCE_FILE,2,0,PARTIALLY_EXECUTABLE,10,1,1,agents_as_tools,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_structured.py,SOURCE_FILE,2,0,PARTIALLY_EXECUTABLE,6,2,1,agents_as_tools,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/deterministic.py,SOURCE_FILE,3,0,FULLY_EXECUTABLE,9,0,1,,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/forcing_tool_use.py,SOURCE_FILE,1,0,PARTIALLY_EXECUTABLE,5,4,1,conditional_edge,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/hosted_multi_agent_beta.py,SOURCE_FILE,1,0,PARTIALLY_EXECUTABLE,5,2,1,conditional_edge,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop.py,SOURCE_FILE,1,0,PARTIALLY_EXECUTABLE,8,11,1,conditional_edge;hitl_resume;loop;state_memory,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop_custom_rejection.py,SOURCE_FILE,1,0,PARTIALLY_EXECUTABLE,6,9,1,conditional_edge;hitl_resume;loop;state_memory,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop_stream.py,SOURCE_FILE,1,0,PARTIALLY_EXECUTABLE,8,9,1,conditional_edge;hitl_resume;loop;state_memory,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/input_guardrails.py,SOURCE_FILE,2,0,PARTIALLY_EXECUTABLE,6,3,1,guardrail;loop,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/llm_as_a_judge.py,SOURCE_FILE,1,0,PARTIALLY_EXECUTABLE,3,1,1,loop,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/output_guardrails.py,SOURCE_FILE,1,0,PARTIALLY_EXECUTABLE,3,2,1,guardrail,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/parallelization.py,SOURCE_FILE,2,0,FULLY_EXECUTABLE,6,0,2,,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/routing.py,SOURCE_FILE,4,0,PARTIALLY_EXECUTABLE,15,1,1,loop,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/streaming_guardrails.py,SOURCE_FILE,2,0,FULLY_EXECUTABLE,6,0,1,,whole source-file workflow; all contained control behavior must close for FULL
